"","locationID","Longitude","Latitude"
"FBK","FBK","-147.6144","64.8375"
"KFP","KFP","-163.4103","54.8475"
"FWL","FWL","-153.8936","62.5067"
"TNW","TNW","-153.6111","62.5317"
"3Z1","3Z1","-166.1317","64.8317"
"FVM","FVM","-149.84","65.9269"
"FLT","FLT","-157.9892","62.4528"
"FRN","FRN","-149.6547","61.2625"
"FYU","FYU","-145.2506","66.5714"
"GBH","GBH","-149.49","68.4797"
"GAL","GAL","-156.9375","64.7361"
"GAM","GAM","-171.7328","63.7667"
"AQY","AQY","-149.1258","60.9661"
"KGZ","KGZ","-142.3808","61.455"
"N93","N93","-163.0072","64.5506"
"GNU","GNU","-161.5775","59.1175"
"Z40","Z40","-149.8456","61.3944"
"GSZ","GSZ","-161.2814","65.4022"
"KGX","KGX","-160.065","62.8944"
"GKN","GKN","-145.4544","62.155"
"8AK1","8AK1","-145.3628","62.2803"
"GST","GST","-135.7075","58.4253"
"HNS","HNS","-135.5236","59.2439"
"4Z2","4Z2","-163.3292","65.9047"
"HRR","HRR","-148.9689","63.8675"
"AK33","AK33","-160.8992","55.8014"
"2AK5","2AK5","-146.5842","60.4817"
"2AK6","2AK6","-155.6694","66.2161"
"HCA","HCA","-159.775","62.1883"
"46AK","46AK","-151.03","59.7383"
"0AK7","0AK7","-150.9586","59.7761"
"AK18","AK18","-153.0808","59.8286"
"98AK","98AK","-151.1817","59.7758"
"AK17","AK17","-151.2233","59.7636"
"HOM","HOM","-151.4767","59.6456"
"2AK4","2AK4","-151.5125","59.47"
"HNH","HNH","-135.4097","58.0961"
"HPB","HPB","-166.1467","61.5239"
"5HO","5HO","-149.6239","60.9042"
"4Z5","4Z5","-141.1814","62.0072"
"AK89","AK89","-149.8369","61.6569"
"AA33","AA33","-149.77","61.6042"
"AK29","AK29","-149.8522","61.6125"
"13AK","13AK","-149.9","61.6547"
"AA30","AA30","-149.8708","61.6481"
"HUS","HUS","-154.2647","66.0392"
"HLA","HLA","-156.3514","65.6978"
"19AK","19AK","-141.6617","59.9689"
"2AK8","2AK8","-161.9033","70.2925"
"IGG","IGG","-155.9017","59.3242"
"ILI","ILI","-154.9178","59.7556"
"2AK9","2AK9","-162.4642","65.6736"
"4Z9","4Z9","-151.5225","59.4522"
"AK60","AK60","-157.0969","57.885"
"JNU","JNU","-134.5764","58.355"
"AFE","AFE","-133.9103","56.9614"
"8AK7","8AK7","-146.8361","70.1728"
"1KC","1KC","-156.8433","64.4244"
"KLG","KLG","-160.3414","61.5364"
"KAL","KAL","-158.7414","64.3189"
"5Z5","5Z5","-150.9939","63.5417"
"Z90","Z90","-150.3294","63.7486"
"KYK","KYK","-154.4539","57.5661"
"Z09","Z09","-162.5244","60.8733"
"5KS","5KS","-151.2628","60.3533"
"5Z7","5Z7","-151.5733","59.4689"
"52AK","52AK","-151.2464","60.5058"
"6AK3","6AK3","-151.2781","60.7294"
"8AK2","8AK2","-151.2942","60.7025"
"30AK","30AK","-151.26","60.5028"
"3AK5","3AK5","-152.1619","60.5889"
"75AK","75AK","-151.3281","60.5931"
"3AK4","3AK4","-151.34","60.6325"
"ENA","ENA","-151.2447","60.5733"
"KTN","KTN","-131.7111","55.3542"
"IAN","IAN","-160.4367","66.9758"
"4K5","4K5","-152.5006","57.9228"
"AK46","AK46","-149.0433","61.6289"
"3AK6","3AK6","-149.3022","61.5931"
"AK1","AK1","-149.0178","61.5303"
"34AK","34AK","-149.2886","61.625"
"5AK6","5AK6","-149.2683","61.5569"
"AK53","AK53","-148.9969","61.5822"
"AK88","AK88","-149.0403","61.6047"
"14AK","14AK","-149.2481","61.6025"
"39AK","39AK","-149.2361","61.5861"
"5AK9","5AK9","-149.1903","61.5486"
"KVL","KVL","-164.5636","67.7361"
"AKW","AKW","-133.0761","55.5792"
"OBU","OBU","-156.8972","66.9122"
"ADQ","ADQ","-152.4939","57.75"
"KDK","KDK","-152.3739","57.8058"
"5KO","5KO","-157.0106","58.87"
"9K2","9K2","-154.8025","59.4333"
"JZZ","JZZ","-157.2594","59.7267"
"DUY","DUY","-162.8811","59.9608"
"2A9","2A9","-163.5328","63.0306"
"OTZ","OTZ","-162.5986","66.8847"
"KKA","KKA","-161.1542","64.9394"
"KYU","KYU","-157.7306","64.8758"
"LKK","LKK","-155.1214","58.9819"
"UBW","UBW","-149.5975","70.3308"
"9Z7","9Z7","-156.9322","58.9625"
"KWT","KWT","-161.4436","60.7903"
"GGV","GGV","-163.1686","59.8764"
"Z55","Z55","-146.5794","62.2936"
"2A3","2A3","-153.9767","57.535"
"9Z9","9Z9","-149.3703","60.4111"
"9Z8","9Z8","-156.8586","59.1281"
"2AK","2AK","-155.4406","61.3592"
"4AK","4AK","-148.6692","65.4725"
"AK71","AK71","-153.2422","70.9108"
"4AK3","4AK3","-143.3258","61.3778"
"LSR","LSR","-167.1631","65.3961"
"AK45","AK45","-167.1756","65.4561"
"4AK5","4AK5","-144.48","62.99"
"MLY","MLY","-150.6442","64.9975"
"MBA","MBA","-158.9019","58.9319"
"MDM","MDM","-162.0261","61.8642"
"MYK","MYK","-142.6867","61.3356"
"0AK5","0AK5","-142.7333","61.3564"
"AK0","AK0","-142.8897","61.2186"
"15Z","15Z","-142.9036","61.4369"
"AK31","AK31","-143.0011","61.4111"
"MCG","MCG","-155.6056","62.9528"
"AK40","AK40","-154.7603","63.2292"
"AK06","AK06","-148.7981","63.645"
"INR","INR","-148.9106","63.7325"
"24AK","24AK","-149.7069","61.6158"
"MYU","MYU","-166.2706","60.3714"
"MDO","MDO","-146.3072","59.45"
"MHM","MHM","-152.3019","63.8861"
"51Z","51Z","-149.37","65.1436"
"0AK3","0AK3","-150.4939","62.0358"
"99AK","99AK","-157.1517","62.5992"
"MOU","MOU","-163.6819","62.0953"
"IBN","IBN","-142.9956","62.4019"
"76Z","76Z","-157.0472","58.9275"
"5NK","5NK","-157.02","58.7328"
"4AK9","4AK9","-157.0072","58.7342"
"AK07","AK07","-151.8772","59.2411"
"KEB","KEB","-151.9253","59.3522"
"4AK8","4AK8","-158.7389","61.5364"
"WNA","WNA","-161.9786","60.6903"
"PKA","PKA","-161.7783","60.7028"
"OUL","OUL","-161.1603","56.0075"
"ENN","ENN","-149.0739","64.5472"
"KNW","KNW","-157.3731","59.4517"
"EWU","EWU","-164.6411","60.9392"
"IGT","IGT","-164.7008","60.4711"
"AK73","AK73","-151.3022","60.7253"
"FSP","FSP","-154.3583","63.0186"
"IKO","IKO","-168.8489","52.9417"
"NIN","NIN","-151.5894","60.0203"
"WTK","WTK","-162.9803","67.5611"
"OME","OME","-165.4453","64.5122"
"94Z","94Z","-165.3958","64.5131"
"5NN","5NN","-154.8392","59.9803"
"D76","D76","-161.0222","66.8175"
"5AK3","5AK3","-147.3339","64.7731"
"95Z","95Z","-147.3878","64.7592"
"AK41","AK41","-146.8442","64.5439"
"5AK2","5AK2","-147.3478","64.7306"
"0AK0","0AK0","-146.8622","64.3925"
"AA76","AA76","-147.3294","64.7694"
"ORT","ORT","-141.9292","62.9614"
"33AK","33AK","-150.9453","62.5172"
"AK20","AK20","-150.8867","70.4206"
"AQT","AQT","-151.0056","70.21"
"NUL","NUL","-158.0742","64.7294"
"16A","16A","-162.4406","60.9061"
"ZNC","ZNC","-159.9936","60.9806"
"6R7","6R7","-153.2697","57.2181"
"Z17","Z17","-156.53","63.1461"
"KPC","KPC","-166.8586","65.2536"
"PGM","PGM","-151.8317","59.3483"
"PTH","PTH","-158.6333","56.9592"
"ORI","ORI","-152.8461","57.8853"
"A14","A14","-157.7142","58.9064"
"PPC","PPC","-150.6436","66.8142"
"01A","01A","-152.27","62.9436"
"20K","20K","-149.7622","65.3539"
"AK93","AK93","-149.2736","61.6553"
"97AK","97AK","-149.2536","61.6639"
"AK66","AK66","-148.8042","61.4631"
"82AK","82AK","-149.1914","61.6167"
"AK92","AK92","-149.0289","61.6381"
"3AK2","3AK2","-149.2867","61.6275"
"PAQ","PAQ","-149.0886","61.595"
"AK63","AK63","-149.1425","61.5886"
"AK50","AK50","-149.1444","61.5544"
"7AK9","7AK9","-149.0486","61.6469"
"05AK","05AK","-149.1875","61.6686"
"4AK6","4AK6","-149.2889","61.6408"
"PXK","PXK","-145.5006","63.0244"
"4K0","4K0","-154.1239","59.7897"
"PEV","PEV","-159.1608","55.9067"
"PSG","PSG","-132.9453","56.8017"
"PNP","PNP","-157.5719","57.5803"
"UGB","UGB","-157.74","57.4253"
"0AK","0AK","-162.8994","61.9344"
"PTU","PTU","-161.8197","59.0114"
"6AK1","6AK1","-161.7139","58.9117"
"PHO","PHO","-166.7994","68.3489"
"PIZ","PIZ","-163.0111","69.7322"
"64AK","64AK","-150.0261","61.44"
"0AK9","0AK9","-150.0592","61.3325"
"2AK0","2AK0","-149.9747","61.2558"
"AK36","AK36","-150.1222","61.4361"
"50AK","50AK","-150.1161","61.3806"
"6AK2","6AK2","-149.9822","61.2514"
"AK14","AK14","-150.0825","61.3533"
"AK11","AK11","-148.6822","70.4017"
"PCK","PCK","-150.2861","67.2378"
"TPO","TPO","-154.3189","60.2044"
"AK51","AK51","-154.3247","60.1986"
"1AK4","1AK4","-150.7522","60.5242"
"AK55","AK55","-150.8017","60.4892"
"SXQ","SXQ","-151.0383","60.475"
"AK26","AK26","-164.4422","64.5606"
"WSN","WSN","-157.0025","58.7022"
"SVW","SVW","-155.5742","61.0975"
"PBV","PBV","-169.6636","56.5772"
"KSM","KSM","-163.3019","62.0608"
"SMK","SMK","-162.1103","63.49"
"SNP","SNP","-170.2206","57.1672"
"WBB","WBB","-162.2781","63.5161"
"AK01","AK01","-150.625","60.5289"
"AK05","AK05","-150.5992","60.5411"
"88AK","88AK","-150.8681","60.5403"
"5QC","5QC","-164.6558","65.4058"
"AQH","AQH","-161.8453","59.755"
"6AK","6AK","-152.7175","62.0842"
"RMP","RMP","-150.1408","65.5078"
"RDV","RDV","-157.3503","61.7881"
"DGG","DGG","-162.8992","68.0322"
"RBY","RBY","-155.47","64.7272"
"9AK2","9AK2","-161.4397","61.8989"
"RSH","RSH","-161.3194","61.775"
"Z81","Z81","-165.0125","64.9092"
"SDP","SDP","-160.5214","55.3136"
"SVA","SVA","-170.4928","63.6864"
"SCM","SCM","-165.5739","61.8444"
"8AK3","8AK3","-160.1528","66.7661"
"WLK","WLK","-159.9858","66.6"
"SOV","SOV","-151.7042","59.4425"
"SWD","SWD","-149.4189","60.1269"
"SHX","SHX","-159.5692","62.6922"
"2C7","2C7","-161.2239","64.3711"
"SMU","SMU","-147.5069","61.8119"
"SXP","SXP","-164.8478","62.5206"
"SYA","SYA","-174.1136","52.7122"
"SHH","SHH","-166.0894","66.2494"
"SHG","SHG","-157.1625","66.8881"
"SIT","SIT","-135.3617","57.0472"
"SGY","SGY","-135.3156","59.46"
"1AK6","1AK6","-151.4083","61.8528"
"3AK9","3AK9","-151.0361","61.9419"
"SKW","SKW","-151.1914","61.9653"
"1AK8","1AK8","-151.3867","61.6769"
"DDT","DDT","-143.9206","62.7247"
"SLQ","SLQ","-157.1658","61.7006"
"7AK2","7AK2","-133.7294","58.1344"
"70AK","70AK","-150.9597","60.5178"
"7AK5","7AK5","-150.9356","60.5036"
"7AK6","7AK6","-150.9286","60.4778"
"7AK3","7AK3","-151.1661","60.4764"
"Z14","Z14","-146.4606","62.0647"
"2K5","2K5","-153.2689","63.3939"
"TER","TER","-166.3394","65.2403"
"3T4","3T4","-142.5183","63.125"
"K55","K55","-145.6883","61.1772"
"TNC","TNC","-167.9217","65.5631"
"TOG","TOG","-160.3969","59.0536"
"9AK0","9AK0","-143.2356","62.5122"
"8AK9","8AK9","-143.0233","63.3"
"6K8","6K8","-142.9536","63.3294"
"OOK","OOK","-165.0872","60.5414"
"53AK","53AK","-150.9392","60.5344"
"AK84","AK84","-150.8308","60.5294"
"AK39","AK39","-150.18","60.6972"
"40AK","40AK","-150.8425","60.5553"
"SVS","SVS","-149.0544","66.0169"
"SRV","SRV","-156.5886","61.7897"
"UMM","UMM","-149.1272","63.3314"
"8AK6","8AK6","-150.2622","61.3719"
"28AK","28AK","-147.8594","61.8089"
"JVM","JVM","-148.9278","61.7314"
"AK59","AK59","-148.3517","61.7911"
"48AK","48AK","-148.4925","61.7931"
"TCT","TCT","-156.0683","62.9928"
"TLJ","TLJ","-155.9767","62.8944"
"2AK7","2AK7","-149.7522","62.3075"
"51AK","51AK","-150.0658","62.2422"
"AK19","AK19","-150.0642","62.1739"
"21AK","21AK","-150.0689","62.0717"
"49AK","49AK","-149.9772","62.0244"
"AA00","AA00","-149.9267","62.5103"
"3AK3","3AK3","-150.2206","62.5639"
"AK61","AK61","-148.9075","62.6997"
"TKA","TKA","-150.0936","62.3206"
"AK44","AK44","-150.1161","62.3189"
"TSG","TSG","-143.3356","63.3744"
"7AK0","7AK0","-151.81","64.6475"
"TAL","TAL","-152.1094","65.1744"
"7KA","7KA","-146.6911","60.8725"
"8KA","8KA","-153.3619","62.2933"
"AK49","AK49","-164.7989","65.6792"
"AK64","AK64","-157.3919","60.8678"
"79AK","79AK","-149.7439","61.4819"
"7AK4","7AK4","-149.5039","61.6725"
"AK79","AK79","-149.5664","61.5936"
"06AK","06AK","-149.5753","61.6275"
"43AK","43AK","-149.5792","61.6008"
"55AK","55AK","-149.6994","61.4958"
"9AK6","9AK6","-149.6483","61.6242"
"89AK","89AK","-149.7056","61.5594"
"65AK","65AK","-149.3686","61.5606"
"38AK","38AK","-149.6678","61.5625"
"5AK8","5AK8","-149.4325","61.6314"
"8AK8","8AK8","-149.6825","61.63"
"59AK","59AK","-149.3406","61.6317"
"AK25","AK25","-149.6147","61.6175"
"6AK7","6AK7","-149.635","61.5747"
"41AK","41AK","-149.6397","61.5008"
"AK47","AK47","-149.5633","61.5856"
"9AK","9AK","-148.5222","64.0256"
"5AK0","5AK0","-151.7989","60.8156"
"81AK","81AK","-150.2361","62.5678"
"TLT","TLT","-160.9694","61.0969"
"A61","A61","-162.6669","60.3353"
"4KA","4KA","-165.2717","60.5756"
"A63","A63","-160.275","59.0744"
"9AK3","9AK3","-151.4489","61.0139"
"TYE","TYE","-151.1381","61.0767"
"9A8","9A8","-157.3961","57.5233"
"UMT","UMT","-152.135","69.3711"
"UNK","UNK","-160.7989","63.8883"
"DUT","DUT","-166.5436","53.9"
"UTO","UTO","-153.7042","65.9928"
"VDZ","VDZ","-146.2483","61.1339"
"VEE","VEE","-146.3664","67.0086"
"0AK6","0AK6","-147.9442","61.8033"
"AWI","AWI","-159.9947","70.6381"
"AK03","AK03","-159.8603","70.6133"
"IWK","IWK","-168.095","65.6225"
"0AK1","0AK1","-149.3217","61.6169"
"56AK","56AK","-149.6064","61.575"
"AK85","AK85","-149.7639","61.4822"
"71AK","71AK","-149.4964","61.5278"
"3AK8","3AK8","-149.3919","61.6625"
"6AK9","6AK9","-149.6825","61.6333"
"58AK","58AK","-149.3397","61.5525"
"AK58","AK58","-149.5489","61.54"
"36AK","36AK","-150.0667","61.3433"
"AK83","AK83","-149.6094","61.6272"
"16AK","16AK","-149.3469","61.5992"
"AK65","AK65","-149.3506","61.5981"
"7AK8","7AK8","-149.615","61.6211"
"10AK","10AK","-149.6778","61.5919"
"UUO","UUO","-150.0517","61.7542"
"0AK2","0AK2","-150.6786","61.7256"
"WSM","WSM","-150.1228","67.4044"
"WRG","WRG","-132.3697","56.4844"
"CYT","CYT","-142.4936","60.0819"
"A57","A57","-138.4511","59.1992"
"A70","A70","-139.2331","59.4047"
"AK76","AK76","-138.4067","59.1261"
"A67","A67","-139.025","59.4144"
"A68","A68","-139.5092","59.5517"
"A69","A69","-138.5036","59.2481"
"YAK","YAK","-139.6603","59.5033"
"A77","A77","-156.3672","63.0019"
"L20","L20","-143.1356","65.3114"
"87AK","87AK","-149.2883","61.6517"
"67AK","67AK","-149.67","61.5347"
"4AK2","4AK2","-149.4242","61.5581"
"AK54","AK54","-149.3261","61.5933"
"AK16","AK16","-149.715","61.5233"
"77AK","77AK","-149.5956","61.5028"
"5AK5","5AK5","-149.4617","61.6572"
"6AK8","6AK8","-149.6692","61.6181"
"AK27","AK27","-149.6244","61.6425"
"IYS","IYS","-149.5394","61.5719"
"44AK","44AK","-150.1025","61.5333"
"42AK","42AK","-149.485","61.5689"
"9AK8","9AK8","-149.6822","61.6247"
"23AK","23AK","-149.3108","61.5942"
"WMO","WMO","-163.4128","64.6892"
"IEM","IEM","-148.7217","60.7772"
"78AK","78AK","-150.5261","61.7331"
"3AK1","3AK1","-150.1958","61.7189"
"AK10","AK10","-150.1094","61.7172"
"25AK","25AK","-150.0633","61.7122"
"AK72","AK72","-150.6011","61.7047"
"3AK7","3AK7","-150.3389","61.7656"
"AK69","AK69","-150.0978","61.7294"
"AK68","AK68","-150.0544","61.7203"
"02AK","02AK","-150.0978","61.8769"
"AK90","AK90","-150.1156","61.7447"
"AK67","AK67","-150.0728","61.7386"
"AK08","AK08","-150.1061","61.79"
"AL18","AL18","-86.8675","33.6761"
"AL43","AL43","-88.3333","32.9083"
"33J","33J","-85.8689","31.0525"
"7A0","7A0","-87.6622","32.6814"
"PRN","PRN","-86.6108","31.8456"
"3A0","3A0","-87.7614","31.6894"
"JKA","JKA","-87.6717","30.2897"
"8A1","8A1","-86.2703","34.3994"
"AL10","AL10","-86.4169","34.6511"
"1M4","1M4","-87.6006","34.2803"
"HAB","HAB","-87.9983","34.1169"
"2AL7","2AL7","-86.7231","34.0628"
"AL92","AL92","-86.4036","33.3072"
"3AL1","3AL1","-85.6853","31.0506"
"AL62","AL62","-85.6836","31.0831"
"5M0","5M0","-86.9331","34.4083"
"00AL","00AL","-86.7703","34.8647"
"M38","M38","-86.6472","34.9161"
"0J6","0J6","-85.3117","31.3642"
"0J0","0J0","-85.2381","31.6003"
"2A8","2A8","-87.1581","34.2092"
"AL03","AL03","-87.7239","35.8539"
"EET","EET","-86.7833","33.1778"
"8A0","8A0","-86.2558","34.2292"
"ALX","ALX","-85.9631","32.9147"
"AIV","AIV","-88.1978","33.1064"
"79J","79J","-86.3939","31.3089"
"ANB","ANB","-85.8581","33.5881"
"1M3","1M3","-86.8847","34.9778"
"26A","26A","-85.8089","33.2839"
"AL60","AL60","-86.2114","33.8386"
"28AL","28AL","-86.1206","33.8625"
"0R1","0R1","-87.4467","31.0161"
"AUO","AUO","-85.4339","32.615"
"1R8","1R8","-87.8194","30.8703"
"5R7","5R7","-88.2106","30.4547"
"EKY","EKY","-86.9264","33.3125"
"BHM","BHM","-86.7522","33.5639"
"AL40","AL40","-86.9858","33.5431"
"AL29","AL29","-86.6333","34.1292"
"3AL6","3AL6","-86.4125","33.49"
"12J","12J","-87.0661","31.0508"
"60A","60A","-85.8036","31.7328"
"09A","09A","-88.1275","32.1194"
"61A","61A","-87.3392","31.9797"
"AL32","AL32","-85.6436","34.3225"
"C22","C22","-85.635","34.16"
"PYP","PYP","-85.61","34.09"
"AL27","AL27","-85.5658","34.1056"
"0A8","0A8","-87.0906","32.9369"
"5AL1","5AL1","-86.6819","31.6808"
"6AL6","6AL6","-88.0925","31.3886"
"5R1","5R1","-88.1944","31.4519"
"AL01","AL01","-87.5333","31.5586"
"02A","02A","-86.6114","32.8506"
"01AL","01AL","-86.5139","32.9458"
"11A","11A","-85.4853","31.8833"
"1AL2","1AL2","-86.5975","33.2486"
"AL02","AL02","-87.4417","33.15"
"9A4","9A4","-87.3489","34.6594"
"AL51","AL51","-85.2992","32.4161"
"15A","15A","-87.9806","30.9133"
"3A1","3A1","-86.8581","34.2686"
"4R9","4R9","-88.1275","30.2606"
"DCU","DCU","-86.9453","34.6542"
"DYA","DYA","-87.9542","32.4639"
"5AL4","5AL4","-85.3653","31.1217"
"DHN","DHN","-85.4497","31.3214"
"3M2","3M2","-87.3278","34.1442"
"14J","14J","-86.0903","31.41"
"7AL9","7AL9","-87.5417","30.4669"
"AL08","AL08","-87.5353","30.4244"
"AL55","AL55","-87.4639","30.4419"
"EDN","EDN","-85.8997","31.2997"
"EUF","EUF","-85.1289","31.9514"
"3A7","3A7","-87.8625","32.8208"
"GZH","GZH","-87.0442","31.4158"
"4R4","4R4","-87.8769","30.4606"
"AL78","AL78","-87.8542","30.5269"
"AL00","AL00","-87.7864","33.7444"
"M95","M95","-87.8156","33.7092"
"4AL7","4AL7","-85.6897","34.7447"
"0AL5","0AL5","-87.2528","31.0322"
"0J4","0J4","-86.3117","31.0425"
"0AL9","0AL9","-87.6325","34.85"
"NBJ","NBJ","-87.6353","30.3892"
"02AL","02AL","-87.7644","30.3714"
"5R4","5R4","-87.7011","30.4278"
"0AL1","0AL1","-87.6569","30.4439"
"AL15","AL15","-87.7242","30.4031"
"67A","67A","-86.5917","31.9725"
"2AL5","2AL5","-85.665","34.3928"
"4A9","4A9","-85.7214","34.4736"
"OZR","OZR","-85.7133","31.2758"
"GAD","GAD","-86.0892","33.9728"
"MOB","MOB","-88.2428","30.6914"
"26AL","26AL","-88.2786","30.6242"
"62AL","62AL","-88.3719","30.6836"
"MVC","MVC","-87.3511","31.4581"
"5AL3","5AL3","-86.8514","33.1528"
"AL12","AL12","-86.125","32.3583"
"MXF","MXF","-86.3625","32.3792"
"MGM","MGM","-86.3939","32.3006"
"1AL8","1AL8","-86.4744","33.6111"
"AL34","AL34","-87.3861","34.4469"
"L44","L44","-87.6406","32.9681"
"5AL5","5AL5","-87.6528","34.6911"
"MSL","MSL","-87.6103","34.7453"
